,0,1,2,3,4,5,6,7,8
26,106,"Ed Davis, PF",POR,78,18.9,-1.23,2.50,1.27,4.01
27,107,"Marcin Gortat, C",WSH,82,25.3,-2.18,2.09,-0.09,4.00
28,108,"Amir Johnson, C",PHI,74,15.8,-1.21,3.14,1.93,3.97
29,109,"Brook Lopez, C",LAL,74,23.4,0.20,0.11,0.31,3.96
30,110,"Myles Turner, C",IND,65,28.2,-1.29,1.54,0.25,3.96
31,111,"Jeff Green, SF",CLE,78,23.4,0.12,0.08,0.20,3.95
32,112,"Buddy Hield, SG",SAC,80,25.3,0.87,-0.92,-0.05,3.88
33,113,"John Wall, PG",WSH,41,34.4,1.24,-0.18,1.06,3.86
34,114,"Evan Fournier, SG",ORL,57,32.2,1.33,-1.30,0.03,3.82
35,115,"Dewayne Dedmon, C",ATL,62,24.9,-1.02,1.72,0.70,3.82
36,116,"Allen Crabbe, SG",BKN,75,29.3,0.68,-1.13,-0.45,3.79
37,117,"Carmelo Anthony, PF",OKC,78,32.1,0.44,-1.24,-0.80,3.75
38,118,"Nemanja Bjelica, PF",MIN,67,20.5,-0.31,1.37,1.06,3.70
39,119,"Enes Kanter, C",NY,71,25.8,0.18,-0.19,-0.01,3.68
40,120,"Ish Smith, PG",DET,82,24.9,0.12,-0.45,-0.33,3.63
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,121,"Justise Winslow, SF",MIA,68,24.7,-1.73,2.01,0.28,3.61
2,122,"OG Anunoby, SF",TOR,74,20.0,-0.32,0.94,0.62,3.59
3,123,"Wayne Ellington, SG",MIA,77,26.5,1.46,-1.77,-0.31,3.56
4,124,"David West, PF",GS,73,13.7,-1.40,3.77,2.37,3.50
5,125,"Danny Green, SG",SA,70,25.6,-1.17,1.16,-0.01,3.48
6,126,"Tyler Johnson, SG",MIA,72,28.5,-0.03,-0.43,-0.46,3.48
7,127,"Aron Baynes, C",BOS,81,18.3,-3.22,3.80,0.58,3.41
8,128,"D.J. Augustin, PG",ORL,75,23.5,0.68,-0.81,-0.13,3.39
9,129,"Nicolas Batum, SG",CHA,64,31.0,0.59,-1.08,-0.49,3.39
10,130,"Jakob Poeltl, C",TOR,82,18.6,-0.50,0.86,0.36,3.38
11,131,"Shabazz Napier, PG",POR,74,20.7,0.27,0.13,0.40,3.37
12,132,"Paul Millsap, PF",DEN,38,30.1,-0.68,2.22,1.54,3.35
13,133,"Cory Joseph, PG",IND,82,27.0,-0.21,-0.56,-0.77,3.32
14,134,"Davis Bertans, C",SA,77,14.1,0.68,1.02,1.70,3.31
15,135,"E'Twaun Moore, SF",NO,82,31.5,0.37,-1.54,-1.17,3.31
16,136,"Bojan Bogdanovic, SF",IND,80,30.8,-0.28,-0.75,-1.03,3.29
17,137,"Domantas Sabonis, C",IND,74,24.5,-0.42,0.15,-0.27,3.29
18,138,"Hassan Whiteside, C",MIA,54,25.3,-2.99,3.59,0.60,3.28
19,139,"Reggie Bullock, SG",DET,62,27.9,0.38,-0.51,-0.13,3.28
20,140,"Joe Harris, SF",BKN,78,25.3,0.98,-1.52,-0.54,3.27
21,141,"Andre Roberson, SG",OKC,39,26.6,-2.56,4.44,1.88,3.23
22,142,"Patty Mills, PG",SA,82,25.7,1.44,-2.16,-0.72,3.19
23,143,"Montrezl Harrell, PF",LAC,76,17.0,1.00,-0.40,0.60,3.17
24,144,"Jordan Bell, C",GS,57,14.2,0.32,2.41,2.73,3.12
25,145,"Zaza Pachulia, C",GS,69,14.1,-0.28,1.87,1.59,3.07
26,146,"Ersan Ilyasova, PF",ATL/PHI,69,25.1,0.62,0.30,0.92,3.03
27,147,"Nene Hilario, C",HOU,52,14.6,-0.57,3.52,2.95,3.02
28,148,"Frank Kaminsky, PF",CHA,79,23.2,1.56,-2.09,-0.53,3.02
29,149,"Denzel Valentine, SF",CHI,77,27.2,-0.55,-0.36,-0.91,2.98
30,150,"John Collins, PF",ATL,74,24.1,-1.51,0.96,-0.55,2.97
31,151,"Devin Harris, PG",DAL/DEN,71,18.9,0.98,-0.64,0.34,2.96
32,152,"Wilson Chandler, SF",DEN,74,31.6,-0.78,-0.38,-1.16,2.92
33,153,"Darius Miller, SF",NO,82,23.7,1.35,-2.21,-0.86,2.88
34,154,"Royce O'Neale, SF",UTAH,69,16.7,-1.12,2.02,0.90,2.88
35,155,"Andrew Wiggins, SF",MIN,82,36.3,0.19,-1.80,-1.61,2.86
36,156,"Dillon Brooks, SF",MEM,82,28.7,-1.05,-0.11,-1.16,2.86
37,157,"Austin Rivers, PG",LAC,61,33.7,1.25,-2.22,-0.97,2.83
38,158,"Maximilian Kleber, PF",DAL,72,16.8,-1.47,1.99,0.52,2.81
39,159,"Courtney Lee, SG",NY,76,30.4,0.30,-1.54,-1.24,2.77
40,160,"Willie Cauley-Stein, C",SAC,73,28.0,-1.74,0.74,-1.00,2.74
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,161,"Bobby Portis, PF",CHI,73,22.5,1.60,-2.17,-0.57,2.73
2,162,"Rondae Hollis-Jefferson, SF",BKN,68,28.3,-1.02,0.06,-0.96,2.71
3,163,"Devin Booker, SG",PHX,54,34.5,1.51,-2.46,-0.95,2.71
4,164,"Mario Chalmers, PG",MEM,66,21.5,-1.14,1.03,-0.11,2.70
5,165,"Rudy Gay, SF",SA,57,21.6,-0.51,0.86,0.35,2.68
6,166,"Stanley Johnson, SF",DET,69,27.4,-1.72,0.83,-0.89,2.68
7,167,"Kevon Looney, SF",GS,66,13.8,-0.92,2.30,1.38,2.66
