,0,1,2,3
20,379,"Abdel Nader, SF",Boston Celtics,"$1,167,333"
21,380,"Damyean Dotson, SG",New York Knicks,"$1,100,000"
22,RK,NAME,TEAM,SALARY
23,381,"Tony Wroten, SG",Memphis Grizzlies,"$1,050,961"
24,382,"Chris Johnson, SG",Houston Rockets,"$1,050,961"
25,383,"John Jenkins, SG",Atlanta Hawks,"$1,050,961"
26,384,"Wesley Iwundu, SF",Orlando Magic,"$1,050,000"
27,385,"Anthony Bennett, PF",Phoenix Suns,"$1,015,696"
28,386,"Andrew Goudelock, PG",Houston Rockets,"$1,015,696"
29,387,"Isaiah Canaan, PG",Phoenix Suns,"$997,547"
30,388,"Arinze Onuaku, PF",Orlando Magic,"$980,431"
31,389,"Devyn Marble, SF",LA Clippers,"$980,431"
32,390,"Elton Brand, PF",Philadelphia 76ers,"$980,431"
33,RK,NAME,TEAM,SALARY
34,391,"Chris Wright, SF",Oklahoma City Thunder,"$980,431"
35,392,"Lou Amundson, PF",New York Knicks,"$980,431"
36,393,"Greg Stiemsma, C",Portland Trail Blazers,"$980,431"
37,394,"Henry Sims, C",Utah Jazz,"$980,431"
38,395,"Jordan Farmar, PG",Sacramento Kings,"$980,431"
39,396,"Jarnell Stokes, PF",Denver Nuggets,"$980,431"
40,397,"Will Bynum, PG",Atlanta Hawks,"$980,431"
41,398,"Ivan Rabb, PF",Memphis Grizzlies,"$950,000"
42,399,"Rade Zagorac, SF",Memphis Grizzlies,"$950,000"
43,400,"Ike Anigbogu, C",Indiana Pacers,"$950,000"
0,RK,NAME,TEAM,SALARY
1,401,"Reggie Williams, SF",New Orleans Pelicans,"$895,197"
2,402,"D.J. Stephens, SG",Memphis Grizzlies,"$874,636"
3,403,"D.J. Kennedy, SG",Memphis Grizzlies,"$874,636"
4,404,"Branden Dawson, SF",Orlando Magic,"$874,636"
5,405,"Casper Ware, PG",Melbourne United,"$874,636"
6,406,"J.J. O'Brien, SF",Milwaukee Bucks,"$874,636"
7,407,"Grant Jerrett, PF",Portland Trail Blazers,"$874,636"
8,408,"Christian Wood, PF",Charlotte Hornets,"$874,636"
9,409,"Duje Dukan, PF",Sacramento Kings,"$874,636"
10,410,"Cliff Alexander, PF",New Orleans Pelicans,"$874,636"
11,RK,NAME,TEAM,SALARY
12,411,"Gerald Green, SG",Houston Rockets,"$872,854"
13,412,"Xavier Rathan-Mayes, SG",Memphis Grizzlies,"$815,615"
14,413,"Dillon Brooks, SF",Memphis Grizzlies,"$815,615"
15,414,"Alex Hamilton, SG",Golden State Warriors,"$815,615"
16,415,"Sterling Brown, SG",Milwaukee Bucks,"$815,615"
17,416,"Alfonzo McKinnie, SF",Toronto Raptors,"$815,615"
18,417,"Dwayne Bacon, SF",Charlotte Hornets,"$815,615"
19,418,"T.J. Williams, PG",Charlotte Hornets,"$815,615"
20,419,"Terry Henderson, SG",Charlotte Hornets,"$815,615"
21,420,"Luke Petrasek, SF",Charlotte Hornets,"$815,615"
22,RK,NAME,TEAM,SALARY
23,421,"Royce O'Neale, SF",Utah Jazz,"$815,615"
24,422,"Daniel Theis, PF",Boston Celtics,"$815,615"
25,423,"L.J. Peak, SG",Boston Celtics,"$815,615"
26,424,"Tyler Dorsey, SG",Atlanta Hawks,"$815,615"
27,425,"Jordan Mathews, SG",Atlanta Hawks,"$815,615"
28,426,"Trey Burke, PG",New York Knicks,"$784,160"
29,427,"Alex Poythress, SF",Indiana Pacers,"$778,668"
30,428,"Dwight Buycks, PG",Detroit Pistons,"$748,160"
31,429,"Tyler Cavanaugh, F",Atlanta Hawks,"$679,919"
32,430,"Emeka Okafor, C",New Orleans Pelicans,"$592,030"
33,RK,NAME,TEAM,SALARY
34,431,"DeAndre Liggins, SG",Milwaukee Bucks,"$588,120"
35,432,"Scott Wood, SG",Golden State Warriors,"$543,471"
36,433,"E.J. Singler, SF",Toronto Raptors,"$543,471"
37,434,"Drew Crawford, SG",Toronto Raptors,"$543,471"
38,435,"Brady Heslip, SG",Toronto Raptors,"$543,471"
39,436,"Rasheed Sulaimon, G",Charlotte Hornets,"$543,471"
40,437,"Andrew Andrews, G",Charlotte Hornets,"$543,471"
41,438,"Ryan Richards, PF",San Antonio Spurs,"$543,471"
42,439,"J.P. Tokoto, SG",New York Knicks,"$543,471"
43,440,"Maurice Ndour, SF",New York Knicks,"$543,471"
0,RK,NAME,TEAM,SALARY
1,441,"Isaiah Cousins, PG",Sacramento Kings,"$543,471"
2,442,"Jonathan Holmes, PF",Boston Celtics,"$543,471"
3,443,"Richard Solomon, PF",Atlanta Hawks,"$543,471"
4,444,"Marco Belinelli, SG",Philadelphia 76ers,"$490,461"
5,445,"Brandan Wright, F",Memphis Grizzlies,"$490,461"
6,446,"Joe Johnson, SG",Utah Jazz,"$473,835"
7,447,"Toney Douglas, PG",Memphis Grizzlies,"$379,159"
8,448,"C.J. Williams, SF",LA Clippers,"$375,000"
9,449,"Derrick Rose, PG",Minnesota Timberwolves,"$290,951"
10,450,"Lamar Patterson, SG",Atlanta Hawks,"$246,956"
11,RK,NAME,TEAM,SALARY
12,451,"Wade Baldwin IV, PG",Portland Trail Blazers,"$229,892"
13,452,"Ramon Sessions, PG",Washington Wizards,"$224,448"
14,453,"Troy Williams, SF",New York Knicks,"$222,476"
15,454,"Larry Sanders, PF",Cleveland Cavaliers,"$207,722"
16,455,"Georgios Papagiannis, C",Sacramento Kings,"$185,397"
17,456,"Shaquille Harrison, PG",Phoenix Suns,"$175,000"
18,457,"Travis Wear, SF",Los Angeles Lakers,"$148,318"
19,458,"Brandon Jennings, PG",Milwaukee Bucks,"$142,812"
20,459,"Antonius Cleveland, SG",Dallas Mavericks,"$133,632"
21,460,"Ray McCallum, PG",Charlotte Hornets,"$121,112"
22,RK,NAME,TEAM,SALARY
23,461,"Manny Harris, PG",Dallas Mavericks,"$115,344"
24,462,"Jaylen Morris, G",Atlanta Hawks,"$101,376"
25,463,"Tim Quarterman, G",Houston Rockets,"$96,406"
26,464,"Aaron Harrison, SG",Dallas Mavericks,"$91,442"
27,465,"Marquis Teague, G",Memphis Grizzlies,"$74,186"
28,466,"Rodney Purvis, SG",Orlando Magic,"$69,120"
29,467,"Mike Tobey, C",Charlotte Hornets,"$67,135"
30,468,"MarShon Brooks, SG",Memphis Grizzlies,"$60,283"
31,469,"Jordan Crawford, SG",New Orleans Pelicans,"$58,190"
32,470,"Justin Harper, PF",Philadelphia 76ers,"$57,672"
33,RK,NAME,TEAM,SALARY
34,471,"Alonzo Gee, SF",Denver Nuggets,"$57,672"
35,472,"Jarell Eddie, SG",Chicago Bulls,"$57,672"
36,473,"Nigel Hayes, SF",Toronto Raptors,"$55,296"
37,474,"Damion Lee, SG",Atlanta Hawks,"$46,080"
38,475,"David Stockton, PG",Utah Jazz,"$44,495"
39,476,"Jonathan Gibson, G",Boston Celtics,"$44,495"
40,477,"Okaro White, PF",Miami Heat,"$37,049"
41,478,"Pierre Jackson, PG",Dallas Mavericks,"$31,969"
42,479,"Lorenzo Brown, PG",Toronto Raptors,"$16,626"
43,480,"Quinn Cook, PG",Golden State Warriors,"$14,832"
0,RK,NAME,TEAM,SALARY
1,481,"Andre Ingram, G",Los Angeles Lakers,"$13,824"
2,482,"Ty Lawson, PG",Washington Wizards,"$8,313"
3,483,"Amile Jefferson, PF",Minnesota Timberwolves,"$4,608"
4,484,"Aaron Jackson, G",Houston Rockets,"$4,608"
