,0,1,2,3
8,248,"Tomas Satoransky, SG",Washington Wizards,"$2,870,813"
9,249,"Noah Vonleh, PF",Portland Trail Blazers,"$2,751,360"
10,250,"Frank Kaminsky, PF",Charlotte Hornets,"$2,730,000"
11,RK,NAME,TEAM,SALARY
12,251,"Dennis Schroder, PG",Atlanta Hawks,"$2,708,582"
13,252,"Jakob Poeltl, C",Toronto Raptors,"$2,703,960"
14,253,"Aaron Brooks, PG",Indiana Pacers,"$2,700,000"
15,254,"Elfrid Payton, PG",Orlando Magic,"$2,613,600"
16,255,"Justise Winslow, SF",Miami Heat,"$2,593,440"
17,256,"Thon Maker, C",Milwaukee Bucks,"$2,568,600"
18,257,"Randy Foye, SG",Brooklyn Nets,"$2,500,000"
19,258,"Malcolm Delaney, PG",Atlanta Hawks,"$2,500,000"
20,259,"Doug McDermott, SF",Oklahoma City Thunder,"$2,483,040"
21,260,"Myles Turner, C",Indiana Pacers,"$2,463,840"
22,RK,NAME,TEAM,SALARY
23,261,"Domantas Sabonis, C",Oklahoma City Thunder,"$2,440,200"
24,262,"Shelvin Mack, PG",Utah Jazz,"$2,433,334"
25,263,"Tony Snell, SG",Milwaukee Bucks,"$2,368,327"
26,264,"Gorgui Dieng, C",Minnesota Timberwolves,"$2,348,783"
27,265,"Trey Lyles, PF",Utah Jazz,"$2,340,600"
28,266,"Mason Plumlee, C",Portland Trail Blazers,"$2,328,530"
29,267,"Dario Saric, PF",Philadelphia 76ers,"$2,318,280"
30,268,"Taurean Prince, SF",Atlanta Hawks,"$2,318,280"
31,269,"Tim Hardaway Jr., SF",Atlanta Hawks,"$2,281,605"
32,270,"Reggie Bullock, SG",Detroit Pistons,"$2,255,644"
33,RK,NAME,TEAM,SALARY
34,271,"Zach LaVine, PG",Minnesota Timberwolves,"$2,240,880"
35,272,"Devin Booker, SG",Phoenix Suns,"$2,223,600"
36,273,"Luc Mbah a Moute, PF",LA Clippers,"$2,203,000"
