Player,Player,Stats_SeasonEnd,Salary,missing
Chris Webber,22,22,22,0
Chris Welp,3,3,0,3
Chris Whitney,13,13,12,1
Chris Wilcox,15,15,12,3
Chris Wright,3,3,1,2
Christian Eyenga,4,4,4,0
Christian Laettner,18,18,16,2
Christian Wood,2,2,2,0
Chuck Hayes,13,13,11,2
Chuck Nevitt,3,3,1,2
Chuck Person,11,11,9,2
Chucky Atkins,18,18,17,1
Chucky Brown,21,21,11,10
Clarence Weatherspoon,17,17,10,7
Cleanthony Early,2,2,2,0
Cliff Alexander,1,1,1,0
Cliff Levingston,4,4,3,1
Cliff Robinson,1,1,0,1
Clifford Lett,2,2,0,2
Clifford Robinson,20,20,18,2
Clifford Rozier,7,7,7,0
Clint Capela,3,3,3,0
Clint McDaniel,1,1,1,0
Clinton Smith,1,1,0,1
Clyde Drexler,11,11,9,2
Coby Karl,7,7,7,0
Cody Zeller,4,4,2,2
Cole Aldrich,9,9,8,1
Corey Beck,5,5,4,1
Corey Benjamin,4,4,2,2
Corey Brewer,16,16,16,0
Corey Crowder,2,2,2,0
Corey Gaines,4,4,0,4
Corey Maggette,14,14,9,5
Corey Williams,2,2,1,1
Corie Blount,20,20,18,2
Corliss Williamson,16,16,16,0
Corsley Edwards,1,1,1,0
Cory Alexander,9,9,7,2
Cory Carr,1,1,1,0
Cory Higgins,2,2,0,2
Cory Jefferson,2,2,2,0
Cory Joseph,6,6,6,0
Coty Clarke,1,1,1,0
Courtney Alexander,5,5,5,0
Courtney Fortson,3,3,3,0
Courtney Lee,13,13,12,1
Courtney Sims,4,4,4,0
Craig Brackins,2,2,2,0
Craig Ehlo,8,8,7,1
Craig Hodges,3,3,2,1
Craig Neal,1,1,0,1
Craig Smith,6,6,6,0
Cristiano Felicio,2,2,2,0
Cuonzo Martin,2,2,0,2
Curtis Borchardt,2,2,2,0
Cuttino Mobley,13,13,12,1
D'Angelo Russell,2,2,2,0
D.J. Augustin,15,15,11,4
D.J. Kennedy,1,1,0,1
D.J. Stephens,1,1,0,1
D.J. Strawberry,1,1,1,0
D.J. White,8,8,2,6
DaJuan Summers,4,4,2,2
Daequan Cook,8,8,7,1
Dahntay Jones,15,15,14,1
Dajuan Wagner,4,4,4,0
Dale Davis,18,18,14,4
Dale Ellis,15,15,11,4
Dalibor Bagaric,3,3,3,0
Damian Jones,1,1,1,0
Damian Lillard,5,5,5,0
Damien Inglis,1,1,1,0
Damien Wilkins,9,9,9,0
Damion James,4,4,3,1
Damir Markota,1,1,1,0
Damjan Rudez,3,3,3,0
Damon Jones,18,18,18,0
Damon Stoudamire,20,20,18,2
Damone Brown,4,4,2,2
Dan Dickau,11,11,11,0
Dan Gadzuric,12,12,11,1
Dan Godfread,2,2,1,1
Dan Langhi,9,9,9,0
Dan Majerle,13,13,10,3
Dan McClintock,1,1,0,1
Dan O'Sullivan,6,6,3,3
Dana Barros,14,14,12,2
Daniel Ewing,2,2,2,0
Daniel Gibson,7,7,7,0
Daniel Ochefu,1,1,1,0
Daniel Orton,3,3,2,1
Daniel Santiago,4,4,4,0
Danilo Gallinari,10,10,10,0
Danny Ainge,6,6,5,1
Danny Ferry,13,13,12,1
Danny Fortson,10,10,9,1
Danny Granger,12,12,11,1
Danny Green,8,8,8,0
Danny Manning,17,17,16,1
Danny Schayes,12,12,10,2
Danny Young,7,7,5,2
Dante Cunningham,10,10,7,3
Dante Exum,2,2,2,0
Danuel House,1,1,1,0
Darington Hobson,1,1,1,0
Dario Saric,1,1,1,0
Darius Johnson-Odom,2,2,1,1
Darius Miles,10,10,10,0
Darius Miller,3,3,3,0
Darius Morris,7,7,7,0
